                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0013,                 3.9963,                 1.8204,                0.86033,                 0.1952,                0.21324,                0.10931,                 1.7115,                 2.4535,                  1.682,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.7408,                 1.6288,                 1.4624,                 0.8608,                0.39339,                0.39732,                0.18644,                  1.648,                 1.3786,                 1.4769,             0.00042545,             0.00042545,             0.00042545
                      3,                 1.6362,                 1.2877,                 1.3566,                0.28311,                0.37738,                0.37369,                0.17492,                 1.7002,                 1.2696,                 1.5704,             0.00061844,             0.00061844,             0.00061844
                      4,                 1.6369,                 1.1431,                 1.3617,                0.61055,                0.35836,                0.38687,                0.18428,                 1.7812,                 1.8654,                 1.7174,             0.00079332,             0.00079332,             0.00079332
                      5,                  1.551,                 1.1752,                 1.3259,                0.73089,                0.23988,                0.28698,                0.14557,                 1.7505,                 1.4931,                 1.5241,             0.00095009,             0.00095009,             0.00095009
                      6,                 1.5597,                 1.1195,                 1.3066,                0.79813,                0.32933,                0.35726,                0.18813,                 1.6926,                 1.3284,                 1.4543,              0.0010888,              0.0010888,              0.0010888
                      7,                 1.4981,                 1.0233,                 1.2692,                0.82896,                0.36937,                0.41635,                0.20758,                 1.7546,                 1.1201,                 1.5092,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.5003,                0.98442,                 1.2724,                0.14157,                0.41089,                0.36352,                0.17082,                 1.7673,                 1.2445,                 1.5265,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.4323,                0.92161,                 1.2467,                 0.7887,                 0.3003,                0.35372,                0.19306,                 1.6542,                 1.3151,                 1.4606,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.4573,                0.93448,                 1.2618,                0.70752,                0.34835,                 0.4168,                0.23115,                 1.5958,                 1.1124,                 1.4222,              0.0009197,              0.0009197,              0.0009197
                     11,                  1.398,                0.89564,                 1.2437,                0.82574,                0.39283,                0.49143,                 0.2393,                 1.6407,                0.96495,                 1.4733,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.3898,                 0.8178,                 1.2157,                 0.7733,                0.46409,                0.51111,                0.25269,                 1.5965,                0.96009,                 1.4161,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.3531,                0.77214,                 1.2032,                0.47358,                 0.4341,                0.47856,                0.24644,                 1.6014,                0.95656,                 1.4125,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.3018,                0.77012,                 1.1689,                0.79339,                 0.4246,                0.46475,                0.23135,                 1.5672,                0.95473,                 1.3898,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.3108,                0.77251,                 1.1778,                0.80417,                0.47047,                0.57224,                 0.2567,                 1.6327,                0.93454,                  1.451,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.2645,                0.71471,                  1.169,                0.74322,                0.49449,                 0.5609,                0.28922,                 1.6068,                0.82439,                 1.4335,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.2343,                0.65035,                 1.1811,                0.76764,                0.57136,                0.58757,                0.29232,                 1.6661,                0.80332,                   1.47,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.1927,                0.63799,                 1.1537,                 0.4199,                 0.5589,                0.54837,                0.28355,                 1.6801,                0.83464,                 1.4838,               0.000467,               0.000467,               0.000467
                     19,                 1.1672,                0.61239,                 1.1405,                0.84511,                0.58077,                0.60013,                0.30164,                  1.642,                0.80542,                  1.452,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.1147,                0.58778,                 1.1091,                 0.7657,                0.59611,                0.58433,                0.29441,                 1.5659,                0.79093,                 1.3879,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.1049,                0.57468,                 1.0931,                0.77532,                0.53754,                0.53598,                0.29537,                 1.5799,                0.81936,                 1.4089,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.0556,                0.56057,                  1.077,                0.83573,                0.48211,                0.52411,                0.27533,                 1.5733,                0.81285,                 1.4057,             0.00024064,             0.00024064,             0.00024064
                     23,                  1.023,                0.52489,                  1.053,                0.73786,                0.63204,                0.54339,                0.29571,                 1.5555,                0.79726,                 1.4007,             0.00018406,             0.00018406,             0.00018406
                     24,                0.98441,                0.53279,                 1.0656,                0.78614,                0.51351,                 0.5337,                0.28591,                 1.5836,                0.81448,                 1.4138,             0.00012747,             0.00012747,             0.00012747
                     25,                0.97545,                0.51818,                 1.0462,                0.78091,                0.51827,                0.52421,                0.29032,                 1.5808,                0.80809,                 1.4151,             7.0878e-05,             7.0878e-05,             7.0878e-05
